time,ax,ay,az,atotal
0.007161617279052734,-0.23,0.11,-0.15,0.29
0.008553743362426758,-0.22,0.31,-0.2,0.42
0.017598628997802734,-0.28,0.3,-0.44,0.6
0.027654647827148438,-0.26,0.05,-0.5,0.56
0.03774571418762207,-0.32,-0.05,-0.53,0.62
0.06406664848327637,-0.57,0.06,-0.29,0.64
0.06580972671508789,-0.66,0.1,-0.09,0.67
0.06804871559143066,-0.58,0.1,-0.27,0.64
0.08368587493896484,-0.56,0.08,-0.33,0.65
0.08821272850036621,-0.64,0.16,-0.27,0.71
0.10225057601928711,-0.7,0.29,-0.39,0.85
0.10971975326538086,-0.75,0.38,-0.45,0.95
0.1195058822631836,-0.79,0.43,-0.47,1.01
0.13067960739135742,-0.79,0.47,-0.55,1.07
0.13976478576660156,-0.78,0.45,-0.6,1.08
0.18663263320922852,-0.78,0.41,-0.6,1.06
0.18733787536621094,-0.79,0.4,-0.66,1.1
0.18814873695373535,-0.85,0.35,-0.68,1.14
0.19977855682373047,-0.92,0.25,-0.7,1.18
0.2009446620941162,-0.98,0.14,-0.77,1.25
0.2167036533355713,-1.05,0.09,-0.76,1.29
0.21797561645507812,-1.15,0.02,-0.79,1.39
0.2330765724182129,-1.22,-0.04,-0.81,1.46
0.2342085838317871,-1.28,-0.09,-0.8,1.51
0.2505147457122803,-1.32,-0.1,-0.77,1.53
0.27376770973205566,-1.37,-0.11,-0.7,1.54
0.2751197814941406,-1.39,-0.08,-0.63,1.52
0.28409862518310547,-1.37,-0.05,-0.6,1.49
0.2852766513824463,-1.34,-0.03,-0.62,1.47
0.3006405830383301,-1.32,0.01,-0.6,1.45
0.30178070068359375,-1.32,0.05,-0.55,1.43
0.31719064712524414,-1.34,0.08,-0.53,1.44
0.3199117183685303,-1.33,0.13,-0.57,1.45
0.33751678466796875,-1.33,0.21,-0.58,1.46
0.34335875511169434,-1.34,0.26,-0.57,1.47
0.3775448799133301,-1.33,0.29,-0.55,1.46
0.37864160537719727,-1.3,0.34,-0.51,1.43
0.37937355041503906,-1.24,0.43,-0.49,1.4
0.3828768730163574,-1.2,0.51,-0.48,1.38
0.3897557258605957,-1.19,0.54,-0.44,1.37
0.3998856544494629,-1.19,0.54,-0.41,1.36
0.410017728805542,-1.2,0.54,-0.36,1.36
0.41995859146118164,-1.2,0.58,-0.38,1.38
0.4301128387451172,-1.17,0.6,-0.37,1.36
0.44031476974487305,-1.18,0.55,-0.29,1.33
0.4779696464538574,-1.2,0.45,-0.23,1.3
0.4791088104248047,-1.2,0.37,-0.2,1.27
0.47971367835998535,-1.19,0.35,-0.14,1.24
0.48267459869384766,-1.2,0.34,-0.07,1.24
0.4996027946472168,-1.15,0.3,0.0,1.18
0.500795841217041,-1.09,0.32,0.04,1.13
0.5160598754882812,-1.06,0.35,0.06,1.11
0.5207467079162598,-0.93,0.38,0.08,1.0
0.53287672996521,-0.77,0.41,0.14,0.88
0.540982723236084,-0.66,0.41,0.25,0.81
0.5815668106079102,-0.53,0.42,0.29,0.73
0.5825276374816895,-0.3,0.38,0.27,0.55
0.5832638740539551,0.06,0.13,0.43,0.45
0.6027708053588867,0.23,0.34,0.11,0.42
0.6038637161254883,0.43,0.45,0.29,0.68
0.6158995628356934,0.73,0.1,0.73,1.03
0.6170556545257568,0.95,0.03,0.62,1.13
0.6321158409118652,1.0,-0.07,0.61,1.17
0.6332306861877441,0.98,-0.26,0.75,1.26
0.6505155563354492,1.02,-0.51,0.72,1.34
0.6714777946472168,1.01,-0.35,0.53,1.19
0.6731648445129395,0.78,0.14,0.3,0.84
0.6743888854980469,0.37,0.34,0.25,0.56
0.6838197708129883,0.47,0.04,0.84,0.96
0.6917176246643066,0.38,0.53,1.53,1.66
0.7018146514892578,-0.26,1.06,1.25,1.65
0.711843729019165,-0.25,0.82,1.19,1.46
0.7220678329467773,-0.16,0.5,0.85,0.99
0.7323718070983887,-0.06,0.4,0.43,0.59
0.7438666820526123,0.22,0.3,0.32,0.49
0.7840397357940674,0.62,0.31,0.61,0.92
0.7850837707519531,1.04,0.43,0.63,1.28
0.7858285903930664,1.05,0.34,-0.02,1.1
0.8026556968688965,1.13,-0.02,-0.33,1.17
0.8038315773010254,1.24,-0.32,-0.59,1.41
0.8158507347106934,1.13,-0.43,-1.01,1.57
0.8169918060302734,1.04,-0.54,-1.17,1.65
0.8342108726501465,1.13,-0.69,-1.06,1.69
0.8353738784790039,1.1,-0.72,-1.08,1.7
0.8504385948181152,1.06,-0.66,-1.23,1.75
0.8726887702941895,1.01,-0.64,-1.29,1.75
0.8740546703338623,0.88,-0.62,-1.41,1.77
0.8753256797790527,0.72,-0.59,-1.54,1.79
0.8834927082061768,0.58,-0.55,-1.35,1.56
0.8928897380828857,0.59,-0.41,-0.86,1.12
0.9029936790466309,0.36,-0.42,-0.37,0.66
0.9129638671875,-0.54,-0.99,0.1,1.13
0.9233088493347168,-1.04,-1.25,0.0,1.62
0.9347496032714844,-0.67,-1.04,-0.9,1.52
0.9443526268005371,-0.4,-0.91,-1.62,1.9
0.9897565841674805,-0.48,-0.8,-1.44,1.71
0.9907276630401611,-0.52,-0.59,-1.03,1.29
0.9914736747741699,-0.57,-0.39,-0.82,1.07
1.001018762588501,-0.67,-0.22,-0.86,1.11
1.0021936893463135,-0.74,-0.1,-0.85,1.13
1.0164666175842285,-0.87,-0.1,-0.69,1.11
1.0174665451049805,-0.93,-0.18,-0.53,1.08
1.0327296257019043,-0.87,-0.2,-0.34,0.95
1.0338807106018066,-0.75,-0.21,-0.21,0.8
1.050473690032959,-0.59,-0.12,-0.08,0.6
1.0750956535339355,-0.75,0.23,-0.08,0.78
1.076725721359253,-0.72,0.23,-0.2,0.78
1.0776076316833496,-0.75,0.43,-0.21,0.88
1.0840187072753906,-0.82,0.78,-0.05,1.13
1.0940687656402588,-0.82,0.94,0.06,1.24
1.1042027473449707,-0.88,1.11,-0.56,1.52
1.1144566535949707,-0.95,1.16,-0.82,1.7
1.1258277893066406,-1.04,1.17,-1.48,2.15
1.1357288360595703,-1.05,1.26,-1.88,2.49
1.1466116905212402,-1.0,1.25,-2.2,2.72
1.1893906593322754,-0.71,1.01,-2.46,2.75
1.1903996467590332,-0.28,0.81,-2.61,2.74
1.1911625862121582,0.03,0.71,-2.67,2.76
1.2013256549835205,0.33,0.72,-2.62,2.73
1.202439785003662,0.64,0.8,-2.6,2.79
1.2156567573547363,0.75,0.97,-2.92,3.16
1.2167868614196777,0.73,1.1,-3.08,3.35
1.2327027320861816,0.58,1.06,-2.55,2.82
1.235137701034546,0.27,0.85,-1.42,1.67
1.2495207786560059,-0.1,0.5,-0.6,0.78
1.2784106731414795,-0.18,0.22,-0.68,0.73
1.280202865600586,0.01,0.29,-1.17,1.2
1.2813668251037598,0.2,0.66,-1.03,1.23
1.2852725982666016,0.47,1.14,-0.45,1.31
1.2951576709747314,0.64,1.42,-0.01,1.55
1.3054685592651367,0.75,1.78,0.68,2.04
1.3155996799468994,0.87,2.09,1.36,2.64
1.3255937099456787,1.09,2.4,1.73,3.15
1.3358168601989746,1.38,2.6,2.13,3.63
1.3478455543518066,1.58,2.48,2.41,3.8
1.389549732208252,1.81,2.3,2.64,3.94
1.3906288146972656,1.99,1.87,3.1,4.13
1.3914108276367188,1.77,1.42,3.71,4.34
1.4006626605987549,1.7,1.08,4.05,4.52
1.4013867378234863,1.59,0.95,4.11,4.5
1.4163146018981934,1.33,1.02,4.32,4.63
1.417454719543457,1.21,1.06,4.28,4.57
1.4320745468139648,0.95,1.38,4.01,4.34
1.436295747756958,0.96,1.62,3.7,4.15
1.449164867401123,0.99,1.81,3.45,4.01
1.4771065711975098,0.97,1.87,3.5,4.08
1.4789247512817383,1.03,1.58,3.41,3.89
1.4800386428833008,1.13,0.99,3.12,3.46
1.4864816665649414,1.44,-0.02,2.78,3.13
1.4995155334472656,1.47,-0.96,2.69,3.21
1.506800651550293,1.27,-1.4,2.58,3.19
1.5165815353393555,1.02,-1.69,2.49,3.17
1.5267248153686523,0.8,-1.7,2.39,3.04
1.536874771118164,0.43,-1.36,2.25,2.66
1.5482535362243652,0.32,-0.95,1.92,2.16
1.5865137577056885,0.45,-0.79,1.73,1.95
1.5875537395477295,0.2,-0.38,1.25,1.32
1.5883188247680664,0.06,-0.28,1.08,1.11
1.6007637977600098,-0.09,-0.36,1.07,1.13
1.6014947891235352,0.04,-0.6,1.19,1.33
1.6161456108093262,0.53,-1.78,1.14,2.17
1.6172518730163574,0.96,-2.72,1.26,3.14
1.6325817108154297,1.16,-3.45,0.86,3.74
1.6374845504760742,1.24,-3.91,0.26,4.11
1.6504225730895996,1.03,-3.77,-0.18,3.91
1.6799917221069336,0.77,-3.58,-1.28,3.87
1.6816425323486328,1.06,-4.12,-2.08,4.73
1.6828618049621582,0.55,-4.05,-2.51,4.79
1.7015118598937988,0.16,-3.82,-3.02,4.87
1.7026567459106445,0.22,-3.86,-3.29,5.07
1.7171096801757812,-0.01,-3.8,-3.07,4.88
1.7182025909423828,-0.19,-3.7,-2.82,4.65
1.732940673828125,-0.02,-3.93,-2.68,4.75
1.738107681274414,0.27,-4.46,-2.56,5.14
1.7504277229309082,0.35,-4.74,-2.49,5.36
1.7845678329467773,0.31,-4.52,-2.4,5.12
1.7883286476135254,0.26,-3.91,-2.45,4.62
1.789679765701294,0.46,-3.64,-2.63,4.51
1.7994697093963623,0.22,-3.64,-2.75,4.56
1.8004677295684814,-0.16,-3.54,-2.64,4.41
1.8167328834533691,-0.43,-3.32,-2.58,4.22
1.81834077835083,-0.57,-3.3,-2.58,4.22
1.83366060256958,-0.62,-3.47,-2.95,4.59
1.8387746810913086,-0.59,-3.66,-3.43,5.05
